RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
GROUP	6	open	1676394289671	1676394289871	197	OK
REQUEST	6	login	/cgi-bin/login.pl	1676394289871	1676394289961	OK	 
REQUEST	6	login	/cgi-bin/nav.pl	1676394289962	1676394290051	OK	 
REQUEST	6	login	/cgi-bin/login.pl	1676394290052	1676394290140	OK	 
GROUP	6	login	1676394289871	1676394290141	267	OK
REQUEST	6	buyTicket	/cgi-bin/welcome.pl	1676394290141	1676394290230	OK	 
REQUEST	6	buyTicket	/cgi-bin/nav.pl	1676394290231	1676394290336	OK	 
REQUEST	6	buyTicket	/cgi-bin/reservations.pl	1676394290337	1676394290452	OK	 
REQUEST	6	buyTicket	/cgi-bin/reservations.pl	1676394290453	1676394290541	OK	 
REQUEST	6	buyTicket	/cgi-bin/reservations.pl	1676394290542	1676394290654	OK	 
REQUEST	6	buyTicket	/cgi-bin/reservations.pl	1676394290655	1676394290759	OK	 
GROUP	6	buyTicket	1676394290141	1676394290759	613	OK
REQUEST	6	itinerary	/cgi-bin/welcome.pl	1676394290760	1676394291196	OK	 
REQUEST	6	itinerary	/cgi-bin/nav.pl	1676394291197	1676394291259	OK	 
REQUEST	6	itinerary	/cgi-bin/itinerary.pl	1676394291260	1676394291672	OK	 
GROUP	6	itinerary	1676394290759	1676394291674	910	OK
REQUEST	6	signOff	/cgi-bin/welcome.pl	1676394291674	1676394291725	OK	 
REQUEST	6	signOff	/cgi-bin/nav.pl	1676394291726	1676394291820	OK	 
REQUEST	6	signOff	/WebTours/home.html	1676394291821	1676394291870	OK	 
GROUP	6	signOff	1676394291674	1676394291870	194	OK
USER	mainScenario	6	END	1676394289670	1676394291870
USER	mainScenario	7	START	1676394299680	1676394299680
REQUEST	7	open	/webtours/	1676394299681	1676394299707	OK	 
REQUEST	7	open	/cgi-bin/welcome.pl	1676394299708	1676394299783	OK	 
REQUEST	7	open	/cgi-bin/nav.pl	1676394299784	1676394299886	OK	 
GROUP	7	open	1676394299680	1676394299886	203	OK
REQUEST	7	login	/cgi-bin/login.pl	1676394299887	1676394299999	OK	 
REQUEST	7	login	/cgi-bin/nav.pl	1676394300000	1676394300105	OK	 
REQUEST	7	login	/cgi-bin/login.pl	1676394300106	1676394300223	OK	 
GROUP	7	login	1676394299886	1676394300223	334	OK
REQUEST	7	buyTicket	/cgi-bin/welcome.pl	1676394300223	1676394300323	OK	 
REQUEST	7	buyTicket	/cgi-bin/nav.pl	1676394300323	1676394300438	OK	 
REQUEST	7	buyTicket	/cgi-bin/reservations.pl	1676394300439	1676394300576	OK	 
REQUEST	7	buyTicket	/cgi-bin/reservations.pl	1676394300576	1676394300700	OK	 
REQUEST	7	buyTicket	/cgi-bin/reservations.pl	1676394300701	1676394300820	OK	 
REQUEST	7	buyTicket	/cgi-bin/reservations.pl	1676394300821	1676394300930	OK	 
GROUP	7	buyTicket	1676394300223	1676394300931	704	OK
REQUEST	7	itinerary	/cgi-bin/welcome.pl	1676394300931	1676394301031	OK	 
REQUEST	7	itinerary	/cgi-bin/nav.pl	1676394301032	1676394301147	OK	 
REQUEST	7	itinerary	/cgi-bin/itinerary.pl	1676394301148	1676394301388	OK	 
GROUP	7	itinerary	1676394300931	1676394301391	455	OK
REQUEST	7	signOff	/cgi-bin/welcome.pl	1676394301391	1676394301791	OK	 
REQUEST	7	signOff	/cgi-bin/nav.pl	1676394301792	1676394301858	OK	 
REQUEST	7	signOff	/WebTours/home.html	1676394301858	1676394301906	OK	 
GROUP	7	signOff	1676394301391	1676394301907	514	OK
USER	mainScenario	7	END	1676394299680	1676394301907
USER	mainScenario	8	START	1676394308681	1676394308681
REQUEST	8	open	/webtours/	1676394308681	1676394308707	OK	 
REQUEST	8	open	/cgi-bin/welcome.pl	1676394308708	1676394308779	OK	 
REQUEST	8	open	/cgi-bin/nav.pl	1676394308780	1676394308885	OK	 
GROUP	8	open	1676394308681	1676394308885	202	OK
REQUEST	8	login	/cgi-bin/login.pl	1676394308886	1676394308990	OK	 
REQUEST	8	login	/cgi-bin/nav.pl	1676394308991	1676394309082	OK	 
REQUEST	8	login	/cgi-bin/login.pl	1676394309083	1676394309204	OK	 
GROUP	8	login	1676394308885	1676394309204	316	OK
REQUEST	8	buyTicket	/cgi-bin/welcome.pl	1676394309205	1676394309299	OK	 
REQUEST	8	buyTicket	/cgi-bin/nav.pl	1676394309300	1676394309405	OK	 
REQUEST	8	buyTicket	/cgi-bin/reservations.pl	1676394309406	1676394309514	OK	 
REQUEST	8	buyTicket	/cgi-bin/reservations.pl	1676394309515	1676394309931	OK	 
REQUEST	8	buyTicket	/cgi-bin/reservations.pl	1676394309932	1676394310070	OK	 
REQUEST	8	buyTicket	/cgi-bin/reservations.pl	1676394310071	1676394310145	OK	 
GROUP	8	buyTicket	1676394309204	1676394310146	935	OK
REQUEST	8	itinerary	/cgi-bin/welcome.pl	1676394310146	1676394310234	OK	 
REQUEST	8	itinerary	/cgi-bin/nav.pl	1676394310235	1676394310332	OK	 
REQUEST	8	itinerary	/cgi-bin/itinerary.pl	1676394310332	1676394310748	OK	 
GROUP	8	itinerary	1676394310146	1676394310751	601	OK
REQUEST	8	signOff	/cgi-bin/welcome.pl	1676394310752	1676394310848	OK	 
REQUEST	8	signOff	/cgi-bin/nav.pl	1676394310849	1676394310905	OK	 
REQUEST	8	signOff	/WebTours/home.html	1676394310905	1676394310953	OK	 
GROUP	8	signOff	1676394310751	1676394310953	200	OK
USER	mainScenario	8	END	1676394308681	1676394310953
USER	mainScenario	9	START	1676394317667	1676394317667
REQUEST	9	open	/webtours/	1676394317668	1676394317697	OK	 
REQUEST	9	open	/cgi-bin/welcome.pl	1676394317697	1676394317763	OK	 
REQUEST	9	open	/cgi-bin/nav.pl	1676394317763	1676394317857	OK	 
GROUP	9	open	1676394317668	1676394317857	189	OK
REQUEST	9	login	/cgi-bin/login.pl	1676394317858	1676394317962	OK	 
REQUEST	9	login	/cgi-bin/nav.pl	1676394317963	1676394318051	OK	 
REQUEST	9	login	/cgi-bin/login.pl	1676394318052	1676394318150	OK	 
GROUP	9	login	1676394317857	1676394318150	290	OK
REQUEST	9	buyTicket	/cgi-bin/welcome.pl	1676394318151	1676394318236	OK	 
REQUEST	9	buyTicket	/cgi-bin/nav.pl	1676394318237	1676394318333	OK	 
REQUEST	9	buyTicket	/cgi-bin/reservations.pl	1676394318334	1676394318447	OK	 
REQUEST	9	buyTicket	/cgi-bin/reservations.pl	1676394318448	1676394318560	OK	 
REQUEST	9	buyTicket	/cgi-bin/reservations.pl	1676394318561	1676394318682	OK	 
REQUEST	9	buyTicket	/cgi-bin/reservations.pl	1676394318683	1676394318799	OK	 
GROUP	9	buyTicket	1676394318151	1676394318799	643	OK
REQUEST	9	itinerary	/cgi-bin/welcome.pl	1676394318800	1676394318902	OK	 
REQUEST	9	itinerary	/cgi-bin/nav.pl	1676394318903	1676394319007	OK	 
REQUEST	9	itinerary	/cgi-bin/itinerary.pl	1676394319008	1676394319254	OK	 
GROUP	9	itinerary	1676394318799	1676394319255	452	OK
REQUEST	9	signOff	/cgi-bin/welcome.pl	1676394319256	1676394319343	OK	 
